,Ticker,07-01-2022,06-01-2022,05-01-2022,04-01-2022,03-01-2022,31-12-2021,30-12-2021,29-12-2021,28-12-2021,27-12-2021,23-12-2021,22-12-2021,21-12-2021,20-12-2021,17-12-2021,16-12-2021,15-12-2021,14-12-2021,13-12-2021,10-12-2021,09-12-2021,08-12-2021,07-12-2021,06-12-2021,03-12-2021,02-12-2021,01-12-2021,30-11-2021,29-11-2021,26-11-2021,24-11-2021,23-11-2021,22-11-2021,19-11-2021,18-11-2021,17-11-2021,16-11-2021,15-11-2021,12-11-2021,11-11-2021,10-11-2021,09-11-2021,08-11-2021,05-11-2021,04-11-2021,03-11-2021,02-11-2021,01-11-2021,29-10-2021,28-10-2021,27-10-2021,26-10-2021,25-10-2021,22-10-2021,21-10-2021,20-10-2021,19-10-2021,18-10-2021,15-10-2021,14-10-2021,13-10-2021,12-10-2021,11-10-2021,08-10-2021,07-10-2021,06-10-2021,05-10-2021,04-10-2021,01-10-2021,30-09-2021,29-09-2021,28-09-2021,27-09-2021,24-09-2021,23-09-2021,22-09-2021,21-09-2021,20-09-2021,17-09-2021,16-09-2021,15-09-2021,14-09-2021,13-09-2021,10-09-2021,09-09-2021,08-09-2021,07-09-2021,03-09-2021,02-09-2021,01-09-2021,31-08-2021,30-08-2021,27-08-2021,26-08-2021,25-08-2021,24-08-2021,23-08-2021,20-08-2021,19-08-2021,18-08-2021
0,AAIC,3.61,3.55,3.58,3.55,3.5,3.49,3.47,3.52,3.52,3.54,3.45,3.53,3.35,3.47,3.5,3.56,3.55,3.63,3.67,3.72,3.65,3.6,3.68,3.64,3.66,3.58,3.66,3.65,3.7,3.75,3.68,3.67,3.7,3.7,3.73,3.79,3.78,3.8,3.84,3.8,3.82,3.85,3.84,3.85,3.86,3.85,3.86,3.84,3.85,3.87,3.9,3.83,3.81,3.85,3.92,3.92,3.93,3.93,3.97,3.9,3.91,3.81,3.75,3.75,3.74,3.7,3.7,3.71,3.71,3.73,3.76,3.73,3.75,3.75,3.79,3.75,3.71,3.72,3.75,3.76,3.79,3.81,3.76,3.78,3.75,3.76,3.85,3.79,3.75,3.75,3.76,3.78,3.77,3.75,3.79,3.78,3.75,3.66,3.7,3.77
1,ABM,42.4,42.86,41.85,41.12,40.89,40.59,40.62,40.9,41.17,41.41,41.0,40.33,39.2,39.8,40.95,40.42,45.97,45.52,45.73,45.56,45.65,45.74,46.67,45.46,45.53,44.29,46.15,46.0,47.13,46.93,48.63,48.51,47.66,46.49,47.8,48.55,48.79,48.78,48.76,48.22,47.62,47.78,48.41,46.84,45.86,44.98,45.38,44.15,43.84,43.23,43.81,45.49,44.6,45.14,44.93,45.13,45.09,44.94,46.76,45.46,45.36,45.53,46.25,46.32,46.25,46.49,46.75,47.11,45.44,45.74,45.02,45.24,45.03,44.68,44.6,44.33,44.6,44.32,45.79,46.64,46.18,46.38,46.43,46.17,45.52,47.16,48.8,48.7,48.87,49.72,49.09,49.86,49.2,48.97,48.45,48.92,48.53,47.65,,
2,ABMD,334.79,337.53,359.43,366.29,358.0,361.02,361.33,358.55,360.2,353.8,343.88,333.76,318.24,311.8,309.64,316.46,313.01,310.0,306.1,313.78,323.88,321.5,314.23,302.07,314.35,305.23,317.17,319.12,327.69,338.52,328.67,332.81,340.06,342.99,345.43,352.0,348.1,361.35,358.4,357.32,369.0,363.44,359.28,362.71,358.34,351.0,349.01,333.06,339.49,330.0,348.71,355.0,353.14,349.45,348.85,351.26,353.26,348.8,347.47,339.03,335.72,335.66,335.36,340.3,339.05,330.0,315.36,320.5,326.58,330.46,333.41,334.08,347.37,348.82,351.55,345.88,349.56,352.65,355.64,354.64,353.19,354.52,362.17,368.37,374.48,375.27,371.92,368.27,366.17,365.39,362.92,360.68,359.07,357.35,357.62,351.27,348.94,333.25,330.17,328.75
3,ABNB,159.18,160.29,169.88,174.15,165.3,168.78,167.06,169.52,171.32,169.81,170.5,165.68,159.5,151.16,154.62,166.25,167.64,168.3,178.25,178.15,182.09,186.0,185.61,167.27,168.98,161.36,174.01,176.4,176.88,167.76,175.63,181.14,190.44,196.6,199.34,207.0,205.59,206.2,192.46,195.2,190.23,201.44,203.35,186.15,175.95,171.89,174.95,170.5,171.39,170.2,170.74,170.4,166.69,169.3,169.07,170.06,172.57,167.5,171.9,175.24,173.0,172.69,170.0,170.1,170.0,161.39,165.67,171.99,170.31,168.1,170.1,172.52,175.0,174.53,171.55,170.03,164.0,162.24,169.3,165.26,162.32,160.66,160.25,166.95,163.0,163.23,159.72,158.05,156.5,154.84,155.94,154.41,152.25,159.34,158.76,147.0,144.9,142.0,143.79,144.02
4,ABOS,5.7,5.95,6.36,6.76,6.86,6.81,6.73,6.74,6.82,7.0,7.07,7.28,6.96,6.88,6.87,7.0,6.6,6.66,7.12,7.35,7.45,7.54,7.54,7.86,8.25,7.55,8.08,8.08,8.52,8.74,8.88,9.6,9.94,10.22,10.84,10.65,11.89,13.21,13.63,14.33,14.69,14.8,14.92,14.96,14.49,13.61,13.7,14.05,14.18,14.71,15.13,14.15,14.4,14.65,14.22,14.01,13.46,13.58,14.17,14.5,13.42,13.12,13.5,14.7,14.97,15.22,15.17,15.37,14.8,14.89,14.72,15.66,15.94,15.96,15.68,15.01,14.73,16.1,16.18,15.31,15.77,15.81,16.89,17.75,18.35,18.52,15.83,15.3,17.36,18.0,18.96,18.91,17.48,17.07,17.16,17.72,17.59,16.83,15.65,15.34
5,ABR,18.68,18.57,18.74,18.71,18.4,18.43,18.47,18.43,18.25,18.17,18.01,17.5,16.94,16.82,17.31,17.81,17.5,17.87,18.11,18.27,18.3,18.26,17.99,17.58,17.76,17.4,17.87,18.03,18.34,18.1,18.31,18.09,18.41,18.35,18.8,19.0,19.2,19.21,19.51,19.7,19.71,19.87,19.75,19.75,19.75,19.6,19.88,20.2,20.18,19.89,19.9,20.07,19.79,19.75,19.76,19.65,19.61,19.15,19.49,19.2,19.15,19.0,19.24,19.04,19.1,18.84,18.96,18.89,18.66,18.59,18.31,18.57,18.43,18.31,18.25,17.95,18.04,17.84,18.23,18.17,17.97,18.2,18.0,18.28,18.01,18.13,18.3,18.36,18.35,18.31,18.21,18.35,17.99,18.2,18.09,18.01,18.0,17.31,17.65,
6,ADBE,513.66,510.0,535.0,563.9,566.65,570.0,570.57,573.33,582.84,575.04,568.96,560.3,550.91,545.61,566.09,578.4,615.96,635.36,652.77,638.13,650.92,647.3,644.19,617.47,658.1,655.95,676.0,687.22,668.0,670.25,655.83,662.7,696.28,681.26,670.62,671.76,659.14,658.37,649.01,649.61,663.2,667.69,666.56,676.74,659.44,645.52,641.12,651.05,637.77,638.0,644.48,650.91,644.47,640.43,632.0,639.28,625.26,610.65,611.69,600.0,585.26,579.16,574.5,581.3,578.46,561.24,563.91,574.59,577.52,580.64,585.45,596.31,615.8,628.0,632.29,624.79,646.88,646.04,663.21,657.53,652.32,646.0,663.04,666.18,664.84,660.15,667.35,664.43,669.82,664.51,667.9,659.78,652.52,653.59,658.61,659.14,645.87,639.84,624.88,632.8
7,ADC,69.64,70.01,71.34,70.88,71.36,71.29,70.62,70.69,70.0,68.74,68.46,67.97,67.5,66.5,66.97,67.35,67.76,68.17,68.0,68.52,68.25,69.94,70.9,69.65,68.82,66.66,68.19,68.84,69.21,68.93,68.8,69.45,69.77,69.86,69.42,69.93,70.9,70.22,70.35,69.85,69.88,70.72,71.26,70.25,70.5,71.3,71.83,71.11,71.49,71.01,71.4,70.83,70.19,70.58,70.61,69.46,69.64,69.12,70.05,69.77,68.27,67.77,67.68,68.42,68.38,66.33,66.92,66.82,66.85,67.47,67.49,67.09,67.98,68.4,69.35,70.0,71.07,70.52,72.05,71.43,71.06,71.71,70.64,72.13,73.37,73.23,74.36,74.73,74.87,74.7,74.38,73.71,73.36,73.72,73.19,,,,,
